Class,Location,Day/Time
BIOL 129A - 01   Adv Topics:Systm Neuro,LEC: Crown Clrm 201,TuTh 05:20PM-08:20PM
BIOL 129B - 01   Adv Dev Neuro,LEC: Cowell Acad 216,TuTh 09:50AM-11:25AM
BIOL 129L - 01   Neurobiology Lab,LAB: Thimann Lab 203,MW 02:00PM-05:00PM
BIOL 130 - 01   Human Physiology,LEC: Sci & Engr Library 206,TuTh 03:20PM-04:55PM
BIOL 130 - 01 DIS 01A,N. Sci Annex 102,M 10:40AM-11:45AM
BIOL 130 - 01 DIS 01B,N. Sci Annex 102,M 04:00PM-05:05PM
BIOL 15 - 01   Research Reports,SEM: J Baskin Engr 160,M 02:40PM-03:45PM
BIOL 186F - 01   Undergrad Rsrch:MCDB,LAB: Sinsheimer Lb 123,W 04:00PM-05:05PM
BIOL 186L - 01   Undergrad Rsrch MCD,LAB: Sinsheimer Lb 123,W 04:00PM-05:05PM
BIOL 186R - 01   UG Research: MCD Bio,LAB: Sinsheimer Lb 123,W 04:00PM-05:05PM
BIOL 188 - 01   A Life in Medicine,SEM: PhysSciences 130,TuTh 06:00PM-08:00PM
BIOL 20A - 01   Cell & Molecular Bi,LEC: Kresge Acad 3105,MWF 02:40PM-03:45PM
BIOL 20A - DIS 01A,McHenry Lib 1340,M 09:20AM-10:25AM
BIOL 20A - DIS 01B,McHenry Lib 1340,M 08:00AM-09:05AM
BIOL 20A - DIS 01C,McHenry Lib 1340,M 10:40AM-11:45AM
BIOL 20A - DIS 01D,Crown Clrm 208,Tu 08:00AM-09:05AM
BIOL 20A - DIS 01E,Earth&Marine B210,Tu 07:10PM-08:15PM
BIOL 20A - DIS 01F,PhysSciences 140,W 08:00AM-09:05AM
BIOL 20A - DIS 01G,Kresge Acad 3105,W 12:00PM-01:05PM
BIOL 20A - DIS 01H,Kresge Acad 3101,W 10:40AM-11:45AM
BIOL 20A - DIS 01I,McHenry Lib 1340,Th 08:00AM-09:05AM
BIOL 20A - DIS 01J,Crown Clrm 208,Th 07:10PM-08:15PM
BIOL 20A - DIS 01K,Kresge Acad 3101,F 10:40AM-11:45AM
BIOL 20A - DIS 01L,Kresge Acad 3101,F 12:00PM-01:05PM
BIOL 20A - DIS 01M,Earth&Marine B210,W 05:20PM-06:25PM
BIOL 20A - DIS 01N,N. Sci Annex 102,Th 08:00AM-09:05AM
BIOL 20A - DIS 01O,Earth&Marine B214,F 08:00AM-09:05AM
BIOL 20A - DIS 01P,McHenry Lib 1340,M 05:20PM-06:25PM
BIOL 20L - 01   Experimental Lab,LAB: Earth&Marine B206,M 01:20PM-02:25PM
BIOL 25 - 01   Seminar: Neuroscience,SEM: Thim Lecture 001,W 05:20PM-06:55PM
BIOL 290 - 01   Career Planning,LEC: BiomedSci 300,M 10:00AM-12:00PM
BIOL 291 - 01   Mol Cell Devel Bio,SEM: N. Sci Annex 101,M 12:00PM-01:05PM
BIOL 292 - 01   MCD Seminar,SEM: N. Sci Annex 101,F 12:00PM-01:05PM
BIOL 80J - 01   Biology Emerging Disea,LEC: PhysSciences 110,MW 05:20PM-06:55PM
BIOL 88 - 01   Studies in Medicine,LEC: McHenry Lib 1340,TuTh 03:20PM-04:55PM
BME 105 - 01   Genetics/Genomics,LEC: J Baskin Engr 152,MWF 12:00PM-01:05PM
BME 105 - 01 DIS 01A,PhysSciences 114,M 09:20AM-10:25AM
BME 105 - 01 DIS 01B,N. Sci Annex 101,M 10:40AM-11:45AM
BME 110 - 01   Comp Bio Tools,LAB: Engineer 2 194,TuTh 01:30PM-03:05PM
BME 110 - 01 DIS 01A,Earth&Marine B214,M 10:40AM-11:45AM
BME 110 - 02   Comp Bio Tools,LAB: Engineer 2 192,TuTh 03:20PM-04:55PM
BME 110 - 02 DIS 02A,PhysSciences 130,M 01:20PM-02:25PM
BME 118 - 01   Math of the Mind,LEC: PhysSciences 110,MWF 01:20PM-02:25PM
BME 128L - 01   Protein Eng lab,LAB: J Baskin Engr 301B,F 09:20AM-12:20PM
BME 128L - 02   Protein Eng lab,LAB: J Baskin Engr 301B,F 01:20PM-04:20PM
BME 129C - 01   Design/Implement BME,LAB: McHenry Lib 1350,TuTh 03:20PM-04:55PM
BME 160 - 01   ResBioProgramming,LEC: Sci & Engr Library 206,MWF 09:20AM-10:25AM
BME 163 - 01   Data Visualization,LEC: J Baskin Engr 152,MWF 02:40PM-03:45PM
